"","Eps","n","Sstar","Estimator","value","Measure"
"76",0.2,20,"pi/2","Mean",0.248636830437963,"Bias"
"77",0.05,50,"pi/2","Mean",0.0635140709904848,"Bias"
"78",0.1,50,"pi/2","Mean",0.116751500612806,"Bias"
"79",0.15,50,"pi/2","Mean",0.161499177545499,"Bias"
"80",0.2,50,"pi/2","Mean",0.238759332390003,"Bias"
"81",0.05,100,"pi/2","Mean",0.0610802334176502,"Bias"
"82",0.1,100,"pi/2","Mean",0.111952107595085,"Bias"
"83",0.15,100,"pi/2","Mean",0.170413480341014,"Bias"
"84",0.2,100,"pi/2","Mean",0.237609115884944,"Bias"
"85",0.05,20,"pi","Mean",0.0849990348097034,"Bias"
"86",0.1,20,"pi","Mean",0.0895263536542577,"Bias"
"87",0.15,20,"pi","Mean",0.0980846591659279,"Bias"
"88",0.2,20,"pi","Mean",0.109959881356974,"Bias"
"89",0.05,50,"pi","Mean",0.0529879568349011,"Bias"
"90",0.1,50,"pi","Mean",0.0572205625257461,"Bias"
"91",0.15,50,"pi","Mean",0.0622239422077961,"Bias"
"92",0.2,50,"pi","Mean",0.0673406509239544,"Bias"
"93",0.05,100,"pi","Mean",0.0367775854802914,"Bias"
"94",0.1,100,"pi","Mean",0.0406208970607281,"Bias"
"95",0.15,100,"pi","Mean",0.0437672770011745,"Bias"
"96",0.2,100,"pi","Mean",0.0489139098835039,"Bias"
"97",0.05,20,"pi/2","Winsozrized
Mean",0.00987756435820629,"MSE"
"98",0.1,20,"pi/2","Winsozrized
Mean",0.0176592502943896,"MSE"
"99",0.15,20,"pi/2","Winsozrized
Mean",0.015899506145256,"MSE"
"100",0.2,20,"pi/2","Winsozrized
Mean",0.0204502172963818,"MSE"
"101",0.05,50,"pi/2","Winsozrized
Mean",0.00447597883957806,"MSE"
"102",0.1,50,"pi/2","Winsozrized
Mean",0.0141842510640761,"MSE"
"103",0.15,50,"pi/2","Winsozrized
Mean",0.00710864437586915,"MSE"
"104",0.2,50,"pi/2","Winsozrized
Mean",0.0109883164075182,"MSE"
"105",0.05,100,"pi/2","Winsozrized
Mean",0.00385019074800034,"MSE"
"106",0.1,100,"pi/2","Winsozrized
Mean",0.012030483349548,"MSE"
"107",0.15,100,"pi/2","Winsozrized
Mean",0.00335978953152221,"MSE"
"108",0.2,100,"pi/2","Winsozrized
Mean",0.00816511914197308,"MSE"
"109",0.05,20,"pi","Winsozrized
Mean",0.0103075512125642,"MSE"
"110",0.1,20,"pi","Winsozrized
Mean",0.0123566291193469,"MSE"
"111",0.15,20,"pi","Winsozrized
Mean",0.0125730110103243,"MSE"
"112",0.2,20,"pi","Winsozrized
Mean",0.0191473383593192,"MSE"
"113",0.05,50,"pi","Winsozrized
Mean",0.004233305550271,"MSE"
"114",0.1,50,"pi","Winsozrized
Mean",0.00575237141125312,"MSE"
"115",0.15,50,"pi","Winsozrized
Mean",0.00415749548603914,"MSE"
"116",0.2,50,"pi","Winsozrized
Mean",0.00897226631919124,"MSE"
"117",0.05,100,"pi","Winsozrized
Mean",0.0020629856278052,"MSE"
"118",0.1,100,"pi","Winsozrized
Mean",0.00308169759991392,"MSE"
"119",0.15,100,"pi","Winsozrized
Mean",0.00222846542075457,"MSE"
"120",0.2,100,"pi","Winsozrized
Mean",0.00453010455641922,"MSE"
"121",0.05,20,"pi/2","Trimmed
Mean",0.00806946937016349,"MSE"
"122",0.1,20,"pi/2","Trimmed
Mean",0.0079520502053375,"MSE"
"123",0.15,20,"pi/2","Trimmed
Mean",0.0122626476417818,"MSE"
"124",0.2,20,"pi/2","Trimmed
Mean",0.0242649307357409,"MSE"
"125",0.05,50,"pi/2","Trimmed
Mean",0.00342465982471108,"MSE"
"126",0.1,50,"pi/2","Trimmed
Mean",0.00335454851879873,"MSE"
"127",0.15,50,"pi/2","Trimmed
Mean",0.00553789729096121,"MSE"
