"","Eps","n","Sstar","Estimator","value","Measure"
"77",0.05,50,"pi/2","Mean",0.0796622880741065,"Bias"
"78",0.1,50,"pi/2","Mean",0.164630533940506,"Bias"
"79",0.15,50,"pi/2","Mean",0.223773150218257,"Bias"
"80",0.2,50,"pi/2","Mean",0.314722271873702,"Bias"
"81",0.05,100,"pi/2","Mean",0.0860259696464282,"Bias"
"82",0.1,100,"pi/2","Mean",0.1608756617421,"Bias"
"83",0.15,100,"pi/2","Mean",0.236549045265894,"Bias"
"84",0.2,100,"pi/2","Mean",0.312956581750213,"Bias"
"85",0.05,20,"pi","Mean",0.167317411440559,"Bias"
"86",0.1,20,"pi","Mean",0.217177889249037,"Bias"
"87",0.15,20,"pi","Mean",0.324764873008473,"Bias"
"88",0.2,20,"pi","Mean",0.400873047022516,"Bias"
"89",0.05,50,"pi","Mean",0.0937046279686808,"Bias"
"90",0.1,50,"pi","Mean",0.170777236869643,"Bias"
"91",0.15,50,"pi","Mean",0.251980097317891,"Bias"
"92",0.2,50,"pi","Mean",0.421340411864535,"Bias"
"93",0.05,100,"pi","Mean",0.0793331205972463,"Bias"
"94",0.1,100,"pi","Mean",0.132241780381498,"Bias"
"95",0.15,100,"pi","Mean",0.24544721396163,"Bias"
"96",0.2,100,"pi","Mean",0.419967060331514,"Bias"
"97",0.05,20,"pi/2","Winsozrized
Mean",0.0134305915220329,"MSE"
"98",0.1,20,"pi/2","Winsozrized
Mean",0.0306781659101716,"MSE"
"99",0.15,20,"pi/2","Winsozrized
Mean",0.0532630263895891,"MSE"
"100",0.2,20,"pi/2","Winsozrized
Mean",0.0561026027193532,"MSE"
"101",0.05,50,"pi/2","Winsozrized
Mean",0.00664858732782308,"MSE"
"102",0.1,50,"pi/2","Winsozrized
Mean",0.0345671653567778,"MSE"
"103",0.15,50,"pi/2","Winsozrized
Mean",0.0468474217221317,"MSE"
"104",0.2,50,"pi/2","Winsozrized
Mean",0.0383452638564649,"MSE"
"105",0.05,100,"pi/2","Winsozrized
Mean",0.00634810680765068,"MSE"
"106",0.1,100,"pi/2","Winsozrized
Mean",0.0380848128117172,"MSE"
"107",0.15,100,"pi/2","Winsozrized
Mean",0.0328239584278084,"MSE"
"108",0.2,100,"pi/2","Winsozrized
Mean",0.0244805225481911,"MSE"
"109",0.05,20,"pi","Winsozrized
Mean",0.011161413040133,"MSE"
"110",0.1,20,"pi","Winsozrized
Mean",0.0165845230149474,"MSE"
"111",0.15,20,"pi","Winsozrized
Mean",0.0462769071748178,"MSE"
"112",0.2,20,"pi","Winsozrized
Mean",0.0641631610829586,"MSE"
"113",0.05,50,"pi","Winsozrized
Mean",0.00479393893444924,"MSE"
"114",0.1,50,"pi","Winsozrized
Mean",0.0101484737177567,"MSE"
"115",0.15,50,"pi","Winsozrized
Mean",0.0153648238627968,"MSE"
"116",0.2,50,"pi","Winsozrized
Mean",0.0238123287173635,"MSE"
"117",0.05,100,"pi","Winsozrized
Mean",0.00281901332962362,"MSE"
"118",0.1,100,"pi","Winsozrized
Mean",0.00693138320750306,"MSE"
"119",0.15,100,"pi","Winsozrized
Mean",0.0075113786721402,"MSE"
"120",0.2,100,"pi","Winsozrized
Mean",0.0121759695459351,"MSE"
"121",0.05,20,"pi/2","Trimmed
Mean",0.00825363118062055,"MSE"
"122",0.1,20,"pi/2","Trimmed
Mean",0.00795275217964549,"MSE"
"123",0.15,20,"pi/2","Trimmed
Mean",0.015755954436624,"MSE"
"124",0.2,20,"pi/2","Trimmed
Mean",0.0383785629116353,"MSE"
"125",0.05,50,"pi/2","Trimmed
Mean",0.00336070745261788,"MSE"
"126",0.1,50,"pi/2","Trimmed
Mean",0.00351775081163111,"MSE"
"127",0.15,50,"pi/2","Trimmed
Mean",0.00837195537904543,"MSE"
"128",0.2,50,"pi/2","Trimmed
Mean",0.0339425813848275,"MSE"
"129",0.05,100,"pi/2","Trimmed
Mean",0.00165105083283942,"MSE"
"130",0.1,100,"pi/2","Trimmed
Mean",0.00168533712807067,"MSE"
"131",0.15,100,"pi/2","Trimmed
Mean",0.00960480383175301,"MSE"
"132",0.2,100,"pi/2","Trimmed
Mean",0.0330735174145196,"MSE"
"133",0.05,20,"pi","Trimmed
Mean",0.00802549049449912,"MSE"
"134",0.1,20,"pi","Trimmed
Mean",0.00831669169079713,"MSE"
"135",0.15,20,"pi","Trimmed
Mean",0.0347435258732524,"MSE"
"136",0.2,20,"pi","Trimmed
Mean",0.0730269397321837,"MSE"
"137",0.05,50,"pi","Trimmed
Mean",0.00331614652962187,"MSE"
"138",0.1,50,"pi","Trimmed
Mean",0.00328402156548209,"MSE"
"139",0.15,50,"pi","Trimmed
Mean",0.0133654885589262,"MSE"
"140",0.2,50,"pi","Trimmed
Mean",0.0478178827357415,"MSE"
"141",0.05,100,"pi","Trimmed
Mean",0.00164726289395425,"MSE"
"142",0.1,100,"pi","Trimmed
Mean",0.00168660695921636,"MSE"
"143",0.15,100,"pi","Trimmed
Mean",0.00959333624037171,"MSE"
"144",0.2,100,"pi","Trimmed
Mean",0.0344157889440436,"MSE"
"145",0.05,20,"pi/2","Median",0.00953580562527607,"MSE"
"146",0.1,20,"pi/2","Median",0.0116396171418353,"MSE"
"147",0.15,20,"pi/2","Median",0.0154473710897506,"MSE"
"148",0.2,20,"pi/2","Median",0.0207007812150818,"MSE"
"149",0.05,50,"pi/2","Median",0.0039746799387468,"MSE"
"150",0.1,50,"pi/2","Median",0.00606081143242938,"MSE"
"151",0.15,50,"pi/2","Median",0.0082910392259516,"MSE"
"152",0.2,50,"pi/2","Median",0.0138556028488677,"MSE"
"153",0.05,100,"pi/2","Median",0.00233867852829655,"MSE"
"154",0.1,100,"pi/2","Median",0.0040432168058428,"MSE"
"155",0.15,100,"pi/2","Median",0.00689364406852067,"MSE"
"156",0.2,100,"pi/2","Median",0.0121459821102279,"MSE"
"157",0.05,20,"pi","Median",0.00965313211016185,"MSE"
"158",0.1,20,"pi","Median",0.0119127818134774,"MSE"
"159",0.15,20,"pi","Median",0.0131866688784492,"MSE"
"160",0.2,20,"pi","Median",0.0165296235942684,"MSE"
"161",0.05,50,"pi","Median",0.00398932483421251,"MSE"
"162",0.1,50,"pi","Median",0.00468528077587555,"MSE"
